30036,30595,31355,32038,Haralson,Georgia
34898,35589,36257,36654,Harris,Georgia
25878,26319,26886,27556,Hart,Georgia
11444,11532,11716,12034,Heard,Georgia
241852,245085,248472,254613,Henry,Georgia
164356,167228,169775,171974,Houston,Georgia
9647,9369,9114,9120,Irwin,Georgia
76731,80374,84009,88615,Jackson,Georgia
14662,15263,15979,16455,Jasper,Georgia
14800,14860,14891,14906,Jeff Davis,Georgia
15676,15476,15294,15183,Jefferson,Georgia
8663,8764,8655,8627,Jenkins,Georgia
9183,8999,9211,9282,Johnson,Georgia
28402,28406,28512,28969,Jones,Georgia
18549,18697,19473,20401,Lamar,Georgia
9929,10051,10177,10452,Lanier,Georgia
49535,49524,49710,49941,Laurens,Georgia
33222,33209,33678,33872,Lee,Georgia
65317,66800,67919,69210,Liberty,Georgia
7702,7749,7859,7879,Lincoln,Georgia
16270,17108,18395,19594,Long,Georgia
118416,118916,119499,120712,Lowndes,Georgia
33641,32843,34706,35258,Lumpkin,Georgia
21607,21619,21690,21799,McDuffie,Georgia
10985,11054,11183,11501,McIntosh,Georgia
12021,11852,11777,11817,Macon,Georgia
30276,30887,31450,32191,Madison,Georgia
7530,7434,7436,7440,Marion,Georgia
20617,20725,20890,20931,Meriwether,Georgia
5992,5853,5774,5747,Miller,Georgia
21671,21318,21192,21114,Mitchell,Georgia
28057,28753,29469,30625,Monroe,Georgia
8576,8646,8643,8761,Montgomery,Georgia
20201,20650,21024,21460,Morgan,Georgia
40012,39975,40410,41035,Murray,Georgia
207006,205060,202432,201877,Muscogee,Georgia
112890,115341,117752,120135,Newton,Georgia
42016,43034,43624,44182,Oconee,Georgia
14869,15187,15531,15754,Oglethorpe,Georgia
169580,173989,178753,183164,Paulding,Georgia
28036,28245,28486,28805,Peach,Georgia
33337,34021,34825,35969,Pickens,Georgia
19747,19975,20190,20425,Pierce,Georgia
18946,19540,19955,20461,Pike,Georgia
42924,43316,43669,44223,Polk,Georgia
9870,9570,9963,10095,Pulaski,Georgia
22170,22614,22933,23129,Putnam,Georgia
2227,2242,2259,2280,Quitman,Georgia
16912,17120,17267,17442,Rabun,Georgia
6368,6263,6126,6078,Randolph,Georgia
206524,205274,206344,205414,Richmond,Georgia
93611,93888,94945,95987,Rockdale,Georgia
4536,4486,4497,4526,Schley,Georgia
14077,14062,13970,14174,Screven,Georgia
9133,9162,9144,9092,Seminole,Georgia
67471,67765,69008,69946,Spalding,Georgia
26818,26765,26746,27228,Stephens,Georgia
5303,4915,4604,4674,Stewart,Georgia
29520,28981,28864,28890,Sumter,Georgia
5726,5755,5757,5718,Talbot,Georgia
1559,1569,1608,1609,Taliaferro,Georgia
24321,24092,23988,24296,Tattnall,Georgia
7818,7769,7762,7758,Taylor,Georgia
12465,12317,12378,10920,Telfair,Georgia
9140,8924,8792,8718,Terrell,Georgia
45775,45818,45551,45649,Thomas,Georgia
41387,41082,41335,41554,Tift,Georgia
27078,26847,26813,27040,Toombs,Georgia
12547,12880,12961,13035,Towns,Georgia
6397,6365,6359,6341,Treutlen,Georgia
69333,69518,70247,70742,Troup,Georgia
8986,8919,8836,8909,Turner,Georgia
8013,7881,7676,7691,Twiggs,Georgia
24802,25552,26390,27124,Union,Georgia
27745,27689,28093,28263,Upson,Georgia
67738,68417,68965,69489,Walker,Georgia
97158,99814,103064,106702,Walton,Georgia
36229,35545,35597,36243,Ware,Georgia
5207,5208,5157,5106,Warren,Georgia
19952,19758,19765,19820,Washington,Georgia
30142,30220,30737,31373,Wayne,Georgia
2351,2362,2337,2337,Webster,Georgia
7449,7737,7310,7081,Wheeler,Georgia
28108,28389,28804,29026,White,Georgia
102784,102712,103095,103687,Whitfield,Georgia
8787,8737,8751,8779,Wilcox,Georgia
9552,9489,9565,9518,Wilkes,Georgia
8833,8786,8677,8725,Wilkinson,Georgia
20732,20565,20431,20273,Worth,Georgia
200744,203875,206348,207615,Hawaii,Hawaii
1012399,1004163,994828,989408,Honolulu,Hawaii
80,81,81,81,Kalawao,Hawaii
73190,73829,73783,73851,Kauai,Hawaii
164768,164797,164359,164183,Maui,Hawaii
498278,513025,519004,524673,Ada,Idaho
4428,4623,4791,4903,Adams,Idaho
87276,88515,89625,90400,Bannock,Idaho
6367,6567,6730,6766,Bear Lake,Idaho
9576,9895,10291,10369,Benewah,Idaho
48097,48929,49973,50395,Bingham,Idaho
24348,24782,24901,25041,Blaine,Idaho
7664,8133,8360,8517,Boise,Idaho
47403,49633,51407,52547,Bonner,Idaho
124737,128064,129543,131366,Bonneville,Idaho
12139,12620,13272,13557,Boundary,Idaho
2584,2666,2698,2758,Butte,Idaho
1084,1137,1169,1232,Camas,Idaho
233013,243710,250892,257674,Canyon,Idaho
7013,7109,7200,7219,Caribou,Idaho
24760,25244,25644,25696,Cassia,Idaho
792,793,810,801,Clark,Idaho
8750,8925,9035,9214,Clearwater,Idaho
4271,4446,4518,4523,Custer,Idaho
28669,28978,29391,29724,Elmore,Idaho
14282,14670,15170,15494,Franklin,Idaho
13419,13591,14017,14196,Fremont,Idaho
19272,19802,20454,21071,Gem,Idaho
15649,15793,15879,16061,Gooding,Idaho
16594,17059,17637,17890,Idaho,Idaho
31080,32201,33336,34198,Jefferson,Idaho
24270,24738,25244,25479,Jerome,Idaho
172785,180058,183290,185010,Kootenai,Idaho
39638,40400,40924,41301,Latah,Idaho
7962,8160,8284,8441,Lemhi,Idaho
3527,3690,3725,3739,Lewis,Idaho
5134,5285,5385,5450,Lincoln,Idaho
52928,54092,54958,54547,Madison,Idaho
21668,21944,22208,22480,Minidoka,Idaho
42145,42500,42909,42987,Nez Perce,Idaho
4566,4605,4740,4953,Oneida,Idaho
11996,12356,12645,12722,Owyhee,Idaho
25590,26386,26929,27279,Payette,Idaho
7879,7975,8136,8253,Power,Idaho
13199,13615,13935,14026,Shoshone,Idaho
11735,12273,12519,12549,Teton,Idaho
90372,92394,93821,95156,Twin Falls,Idaho
11842,12256,12450,12644,Valley,Idaho
10558,10900,11147,11425,Washington,Idaho
65614,65064,64556,64441,Adams,Illinois
5169,5025,4841,4695,Alexander,Illinois
16684,16623,16536,16450,Bond,Illinois
53343,53173,53068,53202,Boone,Illinois
6227,6432,6316,6294,Brown,Illinois
33191,32959,32827,32729,Bureau,Illinois
4407,4395,4353,4317,Calhoun,Illinois
15672,15702,15579,15526,Carroll,Illinois
12991,12790,12638,12596,Cass,Illinois
205654,206605,206169,205644,Champaign,Illinois
33960,33703,33390,33228,Christian,Illinois
15429,15352,15160,15088,Clark,Illinois
13273,13163,13077,12999,Clay,Illinois
36901,36882,36937,36785,Clinton,Illinois
46760,46802,46346,46060,Coles,Illinois
5263608,5180919,5111566,5087072,Cook,Illinois
18651,18684,18495,18300,Crawford,Illinois
10433,10352,10308,10261,Cumberland,Illinois
100269,100482,100223,100288,DeKalb,Illinois
15461,15403,15365,15365,De Witt,Illinois
19764,19694,19667,19629,Douglas,Illinois
931317,926848,921664,921213,DuPage,Illinois
16786,16576,16385,16334,Edgar,Illinois
6208,6084,6058,5968,Edwards,Illinois
34703,34508,34300,34331,Effingham,Illinois
21490,21438,21270,21164,Fayette,Illinois
13513,13479,13256,13250,Ford,Illinois
37697,37459,37215,37138,Franklin,Illinois
